"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"August 2","Who will you choose? #banishersghostsofneweden #reels #clips ","https://www.tiktok.com/@alph4rius_/video/7616892584375487764","March 14","26","1","0","1296"
"August 2","I, Iudex Neuvillette, hereby declare, People of Fontaine, your sins are forgiven. #focalors #furina #neuvillette #genshinimpact","https://www.tiktok.com/@alph4rius_/video/7451827809636322568","December 26","65","0","3","1080"
"August 2","Uncover the dark secrets behind Petrov's lost sanity, and the shocking truth about the Soviet elite's robotic obsessions. Dive into the mysterious world of Atomic Heart, where nothing is as it seems. #AtomicHeart#GamingMystery#Robosexuality","https://www.tiktok.com/@alph4rius_/video/7666840172574788884","July 26","4","2","0","272"
"August 2","The demise of Charles in Banishers: Ghosts of New Eden #banishersghostsofneweden #reels #clip ","https://www.tiktok.com/@alph4rius_/video/7616820559300594964","March 14","5","0","0","260"
"August 2","Major Seeks Petrov In Chaos","https://www.tiktok.com/@alph4rius_/video/7662042999978822933","July 14","0","0","0","250"
"August 2","Explore the dark secrets of Facility 3826 in Atomic Heart, where the protagonist encounters a mysterious anomaly and a disembodied voice. The truth behind the facility's experiments is more sinister than expected. #AtomicHeart #Facility3826 #GamingThriller","https://www.tiktok.com/@alph4rius_/video/7663868496266136852","July 18","2","0","0","246"
"August 2","Soviet Utopia Turns Deadly","https://www.tiktok.com/@alph4rius_/video/7662043114349022485","July 14","4","0","0","242"
"August 2","Imagine a world where Dr. Sechenov's plan succeeds, and humanity is stripped of its free will, forced into a collective consciousness. Explore the thrilling narrative of Atomic Heart, where the protagonist fights to preserve individuality. #AtomicHeart,#FreeWill,#Gaming","https://www.tiktok.com/@alph4rius_/video/7666840903415368981","July 26","3","0","0","241"
"August 2","This is the reason why this game feels different #banishersghostsofneweden #gaming #clips #reels ","https://www.tiktok.com/@alph4rius_/video/7617781344025824532","March 16","5","0","0","241"
"August 2","What if the line between good and evil was blurred? Explore the world of Atomic Heart and discover the shocking truth behind Sechenov's plan. #AtomicHeart #ConspiracyTheory #GamingThriller","https://www.tiktok.com/@alph4rius_/video/7666838370940833045","July 26","3","1","0","240"
"August 2","Help in fact did not arrive #clips #reels #banishersghostsofneweden #gaming ","https://www.tiktok.com/@alph4rius_/video/7617247630552337685","March 15","2","0","0","240"
"August 2","What if the pursuit of equality led to a descent into chaos? Explore the mysteries of Atomic Heart's Facility 3826, where the lines between utopia and dystopia blur. #AtomicHeart #GamingMystery #UtopiaGoneWrong","https://www.tiktok.com/@alph4rius_/video/7666839004020559125","July 26","1","0","0","238"
"August 2","Uncover the mystery behind Granny Zina's true nature and her connection to the Atomic Heart project. Explore the dangers of technology and conspiracy in Facility 3826. #AtomicHeart #GamingMystery #Facility3826","https://www.tiktok.com/@alph4rius_/video/7663868967248858388","July 18","3","0","0","232"
"August 2","Dive into the mysterious world of Atomic Heart, where robots have turned against humans, and uncover the secrets behind the facility's dark past. Explore the desperate attempt to escape and the conspiracy that unfolds. #AtomicHeart #GamingMystery #RobotUprising","https://www.tiktok.com/@alph4rius_/video/7663868781944425749","July 18","1","0","0","231"
"August 2","Sechenovs True Intentions","https://www.tiktok.com/@alph4rius_/video/7662043052869029140","July 14","1","0","0","230"
