"Date","Followers","Difference in followers from previous day"
"August 1","13","0"
"August 2","13","0"
"August 3","13","0"
"August 4","13","0"
"August 5","13","0"
"August 6","13","0"
"August 7","13","0"
"August 8","13","0"
"August 9","13","0"
"August 10","13","0"
"August 11","13","0"
"August 12","13","0"
"August 13","13","0"
"August 14","13","0"
"August 15","13","0"
"August 16","13","0"
"August 17","13","0"
"August 18","13","0"
"August 19","13","1"
"August 20","14","0"
"August 21","14","0"
"August 22","14","0"
"August 23","14","0"
"August 24","14","0"
"August 25","14","0"
"August 26","14","0"
"August 27","14","0"
"August 28","14","0"
"August 29","14","0"
"August 30","14","0"
"August 31","14","0"
"September 1","14","0"
"September 2","14","0"
"September 3","14","0"
"September 4","14","0"
"September 5","14","0"
"September 6","14","0"
"September 7","14","0"
"September 8","14","0"
"September 9","14","0"
"September 10","14","0"
"September 11","14","0"
"September 12","14","0"
"September 13","14","0"
"September 14","14","0"
"September 15","14","0"
"September 16","14","0"
"September 17","14","-1"
"September 18","13","0"
"September 19","13","-1"
"September 20","12","0"
"September 21","12","0"
"September 22","12","0"
"September 23","12","0"
"September 24","12","0"
"September 25","12","0"
"September 26","12","0"
"September 27","12","0"
"September 28","12","0"
"September 29","12","0"
"September 30","12","0"
"October 1","12","0"
"October 2","12","0"
"October 3","12","0"
"October 4","12","0"
"October 5","12","0"
"October 6","12","0"
"October 7","12","0"
"October 8","12","0"
"October 9","12","0"
"October 10","12","0"
"October 11","12","0"
"October 12","12","0"
"October 13","12","0"
"October 14","12","0"
"October 15","12","0"
"October 16","12","0"
"October 17","12","0"
"October 18","12","0"
"October 19","12","0"
"October 20","12","0"
"October 21","12","0"
"October 22","12","0"
"October 23","12","0"
"October 24","12","0"
"October 25","12","0"
"October 26","12","0"
"October 27","12","0"
"October 28","12","0"
"October 29","12","0"
"October 30","12","0"
"October 31","12","0"
"November 1","12","0"
"November 2","12","0"
"November 3","12","1"
"November 4","13","0"
"November 5","13","0"
"November 6","13","0"
"November 7","13","0"
"November 8","13","0"
"November 9","13","0"
"November 10","13","0"
"November 11","13","0"
"November 12","13","0"
"November 13","13","0"
"November 14","13","0"
"November 15","13","0"
"November 16","13","0"
"November 17","13","0"
"November 18","13","0"
"November 19","13","0"
"November 20","13","0"
"November 21","13","0"
"November 22","13","0"
"November 23","13","0"
"November 24","13","0"
"November 25","13","0"
"November 26","13","0"
"November 27","13","0"
"November 28","13","0"
"November 29","13","0"
"November 30","13","0"
"December 1","13","0"
"December 2","13","0"
"December 3","13","0"
"December 4","13","0"
"December 5","13","0"
"December 6","13","0"
"December 7","13","0"
"December 8","13","0"
"December 9","13","0"
"December 10","13","0"
"December 11","13","0"
"December 12","13","0"
"December 13","13","0"
"December 14","13","0"
"December 15","13","0"
"December 16","13","0"
"December 17","13","-1"
"December 18","12","0"
"December 19","12","0"
"December 20","12","0"
"December 21","12","0"
"December 22","12","0"
"December 23","12","0"
"December 24","12","0"
"December 25","12","0"
"December 26","12","0"
"December 27","12","1"
"December 28","13","0"
"December 29","13","0"
"December 30","13","0"
"December 31","13","-1"
"January 1","12","0"
"January 2","12","0"
"January 3","12","0"
"January 4","12","0"
"January 5","12","0"
"January 6","12","0"
"January 7","12","0"
"January 8","12","0"
"January 9","12","0"
"January 10","12","0"
"January 11","12","0"
"January 12","12","0"
"January 13","12","0"
"January 14","12","0"
"January 15","12","0"
"January 16","12","0"
"January 17","12","0"
"January 18","12","0"
"January 19","12","0"
"January 20","12","0"
"January 21","12","0"
"January 22","12","0"
"January 23","12","0"
"January 24","12","0"
"January 25","12","0"
