"Date","Video Views","Profile Views","Likes","Comments","Shares"
"August 1","0","0","0","0","0"
"August 2","1","0","0","0","0"
"August 3","1","0","0","0","0"
"August 4","3","0","0","0","0"
"August 5","1","0","0","0","0"
"August 6","0","0","0","0","0"
"August 7","0","0","0","0","0"
"August 8","1","0","0","0","0"
"August 9","3","0","0","0","0"
"August 10","0","0","0","0","0"
"August 11","0","0","0","0","0"
"August 12","0","0","0","0","0"
"August 13","2","0","0","0","0"
"August 14","3","0","0","0","0"
"August 15","1","0","0","0","0"
"August 16","7","0","0","0","0"
"August 17","3","0","0","0","0"
"August 18","0","0","0","0","0"
"August 19","1","0","0","0","0"
"August 20","2","1","0","0","0"
"August 21","2","0","0","0","0"
"August 22","2","0","0","0","0"
"August 23","3","0","0","0","0"
"August 24","1","0","0","0","0"
"August 25","1","0","0","0","0"
"August 26","0","0","0","0","0"
"August 27","1","0","0","0","0"
"August 28","1","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","1","0","0","0","0"
"August 31","2","1","0","0","0"
"September 1","2","0","0","0","0"
"September 2","2","0","1","0","0"
"September 3","1","0","0","0","0"
"September 4","0","0","0","0","0"
"September 5","2","0","0","0","0"
"September 6","0","0","0","0","0"
"September 7","2","0","0","0","0"
"September 8","1","0","0","0","0"
"September 9","5","0","0","0","0"
"September 10","1","1","0","0","0"
"September 11","1","0","0","0","0"
"September 12","2","0","0","0","0"
"September 13","3","0","0","0","0"
"September 14","1","1","0","0","0"
"September 15","0","0","0","0","0"
"September 16","0","0","0","0","0"
"September 17","2","0","0","0","0"
"September 18","1","0","0","0","0"
"September 19","1","0","0","0","0"
"September 20","4","0","0","0","0"
"September 21","1","0","0","0","0"
"September 22","1","0","0","0","0"
"September 23","2","0","0","0","0"
"September 24","1","0","0","0","0"
"September 25","0","0","0","0","0"
"September 26","1","0","0","0","0"
"September 27","0","0","0","0","0"
"September 28","9","0","1","0","0"
"September 29","1","0","0","0","0"
"September 30","0","0","0","0","0"
"October 1","2","0","0","0","0"
"October 2","1","0","0","0","0"
"October 3","0","0","0","0","0"
"October 4","1","0","0","0","0"
"October 5","1","0","0","0","0"
"October 6","1","0","0","0","0"
"October 7","2","0","0","0","0"
"October 8","2","0","0","0","0"
"October 9","1","0","0","0","0"
"October 10","5","0","0","0","0"
"October 11","1","0","0","0","0"
"October 12","3","0","0","0","0"
"October 13","1","0","0","0","0"
"October 14","1","0","0","0","0"
"October 15","3","0","0","0","0"
"October 16","1","0","0","0","0"
"October 17","2","0","0","0","0"
"October 18","1","0","0","0","0"
"October 19","1","0","0","0","0"
"October 20","0","0","0","0","0"
"October 21","2","0","0","0","0"
"October 22","2","0","0","0","0"
"October 23","0","0","0","0","0"
"October 24","1","0","0","0","0"
"October 25","1","0","0","0","0"
"October 26","0","0","0","0","0"
"October 27","0","0","0","0","0"
"October 28","1","0","0","0","0"
"October 29","0","0","0","0","0"
"October 30","1","0","0","0","0"
"October 31","3","0","0","0","0"
"November 1","0","0","0","0","0"
"November 2","3","0","0","0","0"
"November 3","1","0","0","0","0"
"November 4","1","1","0","0","0"
"November 5","0","0","0","0","0"
"November 6","0","1","0","0","0"
"November 7","1","0","0","0","0"
"November 8","0","0","0","0","0"
"November 9","3","0","0","0","0"
"November 10","1","0","0","0","0"
"November 11","1","0","0","0","0"
"November 12","0","0","0","0","0"
"November 13","1","0","0","0","0"
"November 14","0","0","0","0","0"
"November 15","1","0","0","0","0"
"November 16","0","0","0","0","0"
"November 17","1","1","0","0","0"
"November 18","0","0","0","0","0"
"November 19","0","0","0","0","0"
"November 20","0","0","0","0","0"
"November 21","0","0","0","0","0"
"November 22","0","0","0","0","0"
"November 23","0","0","0","0","0"
"November 24","3","0","0","0","0"
"November 25","0","0","0","0","0"
"November 26","1","0","0","0","0"
"November 27","0","0","0","0","0"
"November 28","1","0","0","0","0"
"November 29","1","0","0","0","0"
"November 30","0","0","0","0","0"
"December 1","1","0","0","0","0"
"December 2","0","0","0","0","0"
"December 3","0","0","0","0","0"
"December 4","0","0","0","0","0"
"December 5","0","0","0","0","0"
"December 6","0","0","0","0","0"
"December 7","0","0","0","0","0"
"December 8","0","0","0","0","0"
"December 9","0","0","0","0","0"
"December 10","0","0","0","0","0"
"December 11","0","0","0","0","0"
"December 12","2","0","0","0","0"
"December 13","3","0","0","0","0"
"December 14","0","1","0","0","0"
"December 15","0","0","0","0","0"
"December 16","0","0","0","0","0"
"December 17","0","0","0","0","0"
"December 18","0","1","0","0","0"
"December 19","0","0","0","0","0"
"December 20","2","0","0","0","0"
"December 21","0","0","0","0","0"
"December 22","0","0","0","0","0"
"December 23","0","0","0","0","0"
"December 24","0","0","0","0","0"
"December 25","1","0","0","0","0"
"December 26","3","0","0","0","0"
"December 27","1","0","0","0","0"
"December 28","0","0","0","0","0"
"December 29","3","0","0","0","0"
"December 30","0","0","0","0","0"
"December 31","0","0","0","0","0"
"January 1","1","1","0","0","0"
"January 2","0","0","0","0","0"
"January 3","0","0","0","0","0"
"January 4","0","0","0","0","0"
"January 5","1","0","0","0","0"
"January 6","1","0","0","0","0"
"January 7","0","0","0","0","0"
