"Date","Total Viewers","New Viewers","Returning Viewers"
"August 2","0","0","0"
"August 3","1","1","0"
"August 4","1","1","0"
"August 5","2","2","0"
"August 6","1","1","0"
"August 7","0","0","0"
"August 8","0","0","0"
"August 9","1","1","0"
"August 10","3","3","0"
"August 11","0","0","0"
"August 12","0","0","0"
"August 13","0","0","0"
"August 14","2","2","0"
"August 15","2","1","1"
"August 16","1","1","0"
"August 17","4","3","1"
"August 18","2","2","0"
"August 19","0","0","0"
"August 20","1","1","0"
"August 21","2","2","0"
"August 22","1","1","0"
"August 23","3","3","0"
"August 24","3","3","0"
"August 25","1","1","0"
"August 26","1","1","0"
"August 27","0","0","0"
"August 28","1","1","0"
"August 29","1","1","0"
"August 30","0","0","0"
"August 31","1","1","0"
"September 1","2","2","0"
"September 2","1","1","0"
"September 3","2","2","0"
"September 4","1","1","0"
"September 5","0","0","0"
"September 6","2","2","0"
"September 7","0","0","0"
"September 8","2","1","1"
"September 9","1","1","0"
"September 10","4","4","0"
"September 11","1","1","0"
"September 12","1","1","0"
"September 13","2","1","1"
"September 14","2","2","0"
"September 15","1","1","0"
"September 16","0","0","0"
"September 17","0","0","0"
"September 18","2","2","0"
"September 19","1","1","0"
"September 20","1","1","0"
"September 21","1","1","0"
"September 22","1","1","0"
"September 23","1","1","0"
"September 24","1","0","1"
"September 25","1","1","0"
"September 26","0","0","0"
"September 27","6","6","0"
"September 28","6","6","0"
"September 29","6","6","0"
"September 30","1","0","1"
"October 1","0","0","0"
"October 2","2","2","0"
"October 3","1","0","1"
"October 4","0","0","0"
"October 5","1","1","0"
"October 6","1","1","0"
"October 7","1","1","0"
"October 8","2","2","0"
"October 9","2","2","0"
"October 10","1","1","0"
"October 11","5","5","0"
"October 12","1","1","0"
"October 13","1","0","1"
"October 14","1","1","0"
"October 15","1","1","0"
"October 16","3","3","0"
"October 17","1","1","0"
"October 18","2","2","0"
"October 19","1","1","0"
"October 20","1","1","0"
"October 21","0","0","0"
"October 22","2","2","0"
"October 23","2","1","1"
"October 24","0","0","0"
"October 25","1","1","0"
"October 26","1","1","0"
"October 27","0","0","0"
"October 28","0","0","0"
"October 29","1","1","0"
"October 30","0","0","0"
"October 31","1","1","0"
"November 1","2","1","1"
"November 2","0","0","0"
"November 3","2","2","0"
"November 4","1","1","0"
"November 5","1","1","0"
"November 6","0","0","0"
"November 7","0","0","0"
"November 8","1","1","0"
"November 9","0","0","0"
"November 10","2","2","0"
"November 11","1","1","0"
"November 12","1","1","0"
"November 13","0","0","0"
"November 14","1","1","0"
"November 15","0","0","0"
"November 16","1","1","0"
"November 17","0","0","0"
"November 18","1","0","1"
"November 19","0","0","0"
"November 20","0","0","0"
"November 21","0","0","0"
"November 22","0","0","0"
"November 23","0","0","0"
"November 24","0","0","0"
"November 25","1","1","0"
"November 26","0","0","0"
"November 27","1","1","0"
"November 28","0","0","0"
"November 29","1","1","0"
"November 30","1","1","0"
"December 1","0","0","0"
"December 2","1","1","0"
"December 3","0","0","0"
"December 4","0","0","0"
"December 5","0","0","0"
"December 6","0","0","0"
"December 7","0","0","0"
"December 8","0","0","0"
"December 9","0","0","0"
"December 10","0","0","0"
"December 11","0","0","0"
"December 12","0","0","0"
"December 13","1","1","0"
"December 14","2","2","0"
"December 15","0","0","0"
"December 16","0","0","0"
"December 17","0","0","0"
"December 18","0","0","0"
"December 19","0","0","0"
"December 20","0","0","0"
"December 21","1","1","0"
"December 22","0","0","0"
"December 23","0","0","0"
"December 24","0","0","0"
"December 25","0","0","0"
"December 26","1","1","0"
"December 27","2","2","0"
"December 28","1","0","1"
"December 29","0","0","0"
"December 30","3","3","0"
"December 31","0","0","0"
"January 1","0","0","0"
"January 2","1","1","0"
"January 3","0","0","0"
"January 4","0","0","0"
"January 5","0","0","0"
"January 6","1","1","0"
"January 7","1","1","0"
"January 8","0","0","0"
"January 9","1","1","0"
"January 10","0","0","0"
"January 11","0","0","0"
"January 12","2","2","0"
"January 13","1","1","0"
"January 14","2","2","0"
"January 15","0","0","0"
"January 16","0","0","0"
"January 17","0","0","0"
"January 18","1","1","0"
"January 19","1","1","0"
"January 20","1","1","0"
"January 21","2","2","0"
"January 22","1","1","0"
"January 23","2","2","0"
"January 24","0","0","0"
"January 25","0","0","0"
"January 26","2","1","1"
"January 27","0","0","0"
"January 28","0","0","0"
"January 29","1","1","0"
"January 30","1","0","1"
"January 31","2","1","1"
"February 1","1","1","0"
"February 2","1","1","0"
"February 3","0","0","0"
"February 4","2","2","0"
"February 5","2","2","0"
"February 6","0","0","0"
"February 7","1","1","0"
"February 8","2","2","0"
"February 9","2","2","0"
"February 10","1","1","0"
"February 11","1","1","0"
"February 12","0","0","0"
"February 13","0","0","0"
"February 14","2","1","1"
"February 15","1","1","0"
"February 16","0","0","0"
"February 17","0","0","0"
"February 18","0","0","0"
"February 19","0","0","0"
"February 20","0","0","0"
"February 21","0","0","0"
"February 22","1","1","0"
"February 23","0","0","0"
"February 24","0","0","0"
"February 25","1","1","0"
"February 26","0","0","0"
"February 27","0","0","0"
"February 28","1","1","0"
"March 1","0","0","0"
"March 2","0","0","0"
"March 3","1","0","1"
"March 4","0","0","0"
"March 5","0","0","0"
"March 6","0","0","0"
"March 7","0","0","0"
"March 8","0","0","0"
"March 9","0","0","0"
"March 10","1","0","1"
"March 11","0","0","0"
"March 12","0","0","0"
"March 13","1","1","0"
"March 14","120","119","1"
"March 15","1656","1643","13"
"March 16","425","371","54"
"March 17","398","341","57"
"March 18","336","258","78"
"March 19","362","345","17"
"March 20","283","270","13"
"March 21","47","45","2"
"March 22","12","12","0"
"March 23","9","8","1"
"March 24","18","18","0"
"March 25","5","4","1"
"March 26","417","370","47"
"March 27","131","106","25"
"March 28","14","13","1"
"March 29","397","382","15"
"March 30","380","333","47"
"March 31","48","40","8"
"April 1","3","2","1"
"April 2","3","1","2"
"April 3","1","1","0"
"April 4","1","1","0"
"April 5","0","0","0"
"April 6","3","2","1"
"April 7","2","2","0"
"April 8","1","1","0"
"April 9","2","2","0"
"April 10","2","2","0"
"April 11","2","2","0"
"April 12","2","2","0"
"April 13","2","2","0"
"April 14","1","0","1"
"April 15","3","1","2"
"April 16","0","0","0"
"April 17","1","1","0"
"April 18","0","0","0"
"April 19","0","0","0"
"April 20","0","0","0"
"April 21","2","1","1"
"April 22","0","0","0"
"April 23","1","0","1"
"April 24","2","2","0"
"April 25","1","0","1"
"April 26","4","4","0"
"April 27","6","5","1"
"April 28","0","0","0"
"April 29","1","1","0"
"April 30","2","2","0"
"May 1","1","1","0"
"May 2","3","2","1"
"May 3","1","1","0"
"May 4","3","2","1"
"May 5","0","0","0"
"May 6","2","1","1"
"May 7","2","1","1"
"May 8","7","7","0"
"May 9","7","7","0"
"May 10","8","8","0"
"May 11","2","2","0"
"May 12","12","12","0"
"May 13","10","10","0"
"May 14","9","9","0"
"May 15","6","6","0"
"May 16","6","6","0"
"May 17","4","4","0"
"May 18","4","3","1"
"May 19","3","3","0"
"May 20","6","6","0"
"May 21","3","3","0"
"May 22","2","2","0"
"May 23","2","2","0"
"May 24","1","1","0"
"May 25","2","1","1"
"May 26","0","0","0"
"May 27","0","0","0"
"May 28","0","0","0"
"May 29","0","0","0"
"May 30","1","1","0"
"May 31","0","0","0"
"June 1","1","1","0"
"June 2","0","0","0"
"June 3","0","0","0"
"June 4","1","1","0"
"June 5","0","0","0"
"June 6","0","0","0"
"June 7","0","0","0"
"June 8","0","0","0"
"June 9","0","0","0"
"June 10","0","0","0"
"June 11","2","1","1"
"June 12","0","0","0"
"June 13","1","1","0"
"June 14","4","4","0"
"June 15","8","8","0"
"June 16","7","7","0"
"June 17","8","8","0"
"June 18","1","1","0"
"June 19","0","0","0"
"June 20","1","1","0"
"June 21","0","0","0"
"June 22","2","2","0"
"June 23","0","0","0"
"June 24","0","0","0"
"June 25","0","0","0"
"June 26","0","0","0"
"June 27","477","472","5"
"June 28","278","265","13"
"June 29","8","6","2"
"June 30","5","5","0"
"July 1","5","4","1"
"July 2","2","1","1"
"July 3","3","2","1"
"July 4","4","4","0"
"July 5","14","14","0"
"July 6","5","5","0"
"July 7","3","2","1"
"July 8","2","2","0"
"July 9","5","4","1"
"July 10","6","6","0"
"July 11","2","2","0"
"July 12","2","2","0"
"July 13","1","1","0"
"July 14","571","565","6"
"July 15","242","229","13"
"July 16","0","0","0"
"July 17","0","0","0"
"July 18","3","2","1"
"July 19","400","370","30"
"July 20","633","569","64"
"July 21","77","60","17"
"July 22","4","4","0"
"July 23","2","2","0"
"July 24","2","2","0"
"July 25","4","3","1"
"July 26","2","2","0"
"July 27","1005","889","116"
"July 28","48","43","5"
"July 29","22","20","2"
"July 30","12","11","1"
"July 31","5","5","0"
"August 1","undefined","0","0"
